U1	I
12.94	1.61
12.96	1.75
12.99	1.65
13.01	1.75
13.04	1.57
13.06	1.72
13.08	1.64
13.11	1.80
13.13	1.66
13.16	1.81
13.18	1.63
13.21	1.84
13.23	1.68
13.26	1.86
13.28	1.69
13.30	1.85
13.33	1.65
13.35	1.87
13.38	1.68
13.40	1.86
13.43	1.67
13.45	1.85
13.47	1.69
13.50	1.85
13.52	1.64
13.55	1.87
13.57	1.70
13.60	1.88
13.62	1.70
13.65	1.86
13.67	1.72
13.69	1.92
13.72	1.69
13.74	1.85
13.77	1.69
13.79	1.89
13.82	1.77
13.84	1.88
13.87	1.69
13.89	1.82
13.91	1.69
13.94	1.87
13.96	1.74
13.99	1.77
14.01	1.66
14.04	1.74
14.06	1.68
14.09	1.80
14.11	1.68
14.13	1.71
14.16	1.62
14.18	1.67
14.21	1.66
14.23	1.70
14.26	1.64
14.28	1.66
14.31	1.61
14.33	1.65
14.35	1.68
14.38	1.70
14.40	1.71
14.43	1.66
14.45	1.64
14.48	1.61
14.50	1.65
14.52	1.63
14.55	1.72
14.57	1.61
14.60	1.66
14.62	1.60
14.65	1.74
14.67	1.72
14.70	1.82
14.72	1.63
14.74	1.74
14.77	1.62
14.79	1.79
14.82	1.63
14.84	1.74
14.87	1.51
14.89	1.70
14.92	1.55
14.94	1.77
14.96	1.59
14.99	1.73
15.01	1.58
15.04	1.81
15.06	1.65
15.09	1.84
15.11	1.64
15.14	1.82
15.16	1.64
15.18	1.79
15.21	1.57
15.23	1.73
15.26	1.52
15.28	1.71
15.31	1.51
15.33	1.71
15.36	1.54
15.38	1.73
15.40	1.56
15.43	1.76
15.45	1.59
15.48	1.80
15.50	1.63
15.53	1.81
15.55	1.66
15.57	1.79
15.60	1.67
15.62	1.85
15.65	1.73
15.67	1.87
15.70	1.72
15.72	1.82
15.75	1.79
15.77	1.91
15.79	1.85
15.82	1.90
15.84	1.79
15.87	1.89
15.89	1.90
15.92	1.97
15.94	1.91
15.97	1.92
15.99	1.89
16.01	1.98
16.04	1.99
16.06	2.03
16.09	2.02
16.11	2.00
16.14	2.02
16.16	2.02
16.19	2.06
16.21	2.09
16.23	2.14
16.26	2.09
16.28	2.16
16.31	2.08
16.33	2.24
16.36	2.21
16.38	2.30
16.41	2.19
16.43	2.29
16.45	2.22
16.48	2.46
16.50	2.34
16.53	2.48
16.55	2.34
16.58	2.51
16.60	2.43
16.63	2.62
16.65	2.43
16.67	2.61
16.70	2.44
16.72	2.65
16.75	2.51
16.77	2.69
16.80	2.51
16.82	2.74
16.84	2.56
16.87	2.82
16.89	2.68
16.92	2.90
16.94	2.75
16.97	2.99
16.99	2.82
17.02	3.05
17.04	2.85
17.06	3.06
17.09	2.89
17.11	3.08
17.14	2.93
17.16	3.16
17.19	3.02
17.21	3.23
17.24	3.07
17.26	3.26
17.28	3.14
17.31	3.34
17.33	3.23
17.36	3.35
17.38	3.18
17.41	3.32
17.43	3.23
17.46	3.38
17.48	3.31
17.50	3.37
17.53	3.29
17.55	3.42
17.58	3.41
17.60	3.55
17.63	3.50
17.65	3.48
17.68	3.44
17.70	3.48
17.72	3.48
17.75	3.50
17.77	3.47
17.80	3.45
17.82	3.46
17.85	3.44
17.87	3.51
17.89	3.49
17.92	3.54
17.94	3.46
17.97	3.47
17.99	3.41
18.02	3.54
18.04	3.48
18.07	3.56
18.09	3.39
18.11	3.44
18.14	3.37
18.16	3.52
18.19	3.40
18.21	3.49
18.24	3.30
18.26	3.46
18.29	3.33
18.31	3.49
18.33	3.33
18.36	3.45
18.38	3.24
18.41	3.41
18.43	3.22
18.46	3.39
18.48	3.18
18.51	3.31
18.53	3.12
18.55	3.31
18.58	3.09
18.60	3.27
18.63	3.07
18.65	3.25
18.68	3.06
18.70	3.20
18.73	2.97
18.75	3.17
18.77	2.97
18.80	3.16
18.82	2.95
18.85	3.11
18.87	2.95
18.90	3.09
18.92	2.86
18.94	3.00
18.97	2.81
18.99	2.98
19.02	2.82
19.04	2.91
19.07	2.75
19.09	2.87
19.12	2.73
19.14	2.90
19.16	2.76
19.19	2.80
19.21	2.66
19.24	2.74
19.26	2.68
19.29	2.77
19.31	2.63
19.34	2.63
19.36	2.57
19.38	2.62
19.41	2.62
19.43	2.65
19.46	2.60
19.48	2.57
19.51	2.55
19.53	2.53
19.56	2.56
19.58	2.53
19.60	2.54
19.63	2.44
19.65	2.45
19.68	2.41
19.70	2.49
19.73	2.46
19.75	2.55
19.78	2.43
19.80	2.54
19.82	2.48
19.85	2.66
19.87	2.57
19.90	2.65
19.92	2.45
19.95	2.56
19.97	2.42
19.99	2.61
20.02	2.40
20.04	2.51
20.07	2.34
20.09	2.51
20.12	2.38
20.14	2.58
20.17	2.37
20.19	2.54
20.21	2.40
20.24	2.59
20.26	2.45
20.29	2.66
20.31	2.47
20.34	2.71
20.36	2.52
20.39	2.71
20.41	2.52
20.43	2.72
20.46	2.55
20.48	2.79
20.51	2.62
20.53	2.85
20.56	2.72
20.58	2.94
20.61	2.79
20.63	2.96
20.65	2.82
20.68	3.02
20.70	2.93
20.73	3.08
20.75	2.94
20.78	3.10
20.80	3.07
20.83	3.25
20.85	3.16
20.87	3.26
20.90	3.17
20.92	3.31
20.95	3.29
20.97	3.40
21.00	3.37
21.02	3.43
21.05	3.40
21.07	3.54
21.09	3.57
21.12	3.68
21.14	3.71
21.17	3.76
21.19	3.80
21.22	3.88
21.24	3.96
21.26	4.05
21.29	4.12
21.31	4.12
21.34	4.18
21.36	4.19
21.39	4.36
21.41	4.39
21.44	4.51
21.46	4.43
21.48	4.55
21.51	4.54
21.53	4.79
21.56	4.74
21.58	4.91
21.61	4.83
21.63	5.00
21.66	4.97
21.68	5.23
21.70	5.12
21.73	5.34
21.75	5.20
21.78	5.41
21.80	5.39
21.83	5.62
21.85	5.47
21.88	5.71
21.90	5.58
21.92	5.87
21.95	5.75
21.97	5.97
22.00	5.86
22.02	6.09
22.05	5.92
22.07	6.15
22.10	5.95
22.12	6.21
22.14	6.08
22.17	6.31
22.19	6.19
22.22	6.40
22.24	6.27
22.27	6.51
22.29	6.32
22.31	6.51
22.34	6.35
22.36	6.58
22.39	6.51
22.41	6.66
22.44	6.48
22.46	6.65
22.49	6.54
22.51	6.71
22.53	6.60
22.56	6.64
22.58	6.50
22.61	6.64
22.63	6.57
22.66	6.67
22.68	6.60
22.71	6.61
22.73	6.55
22.75	6.59
22.78	6.57
22.80	6.61
22.83	6.53
22.85	6.49
22.88	6.42
22.90	6.41
22.93	6.40
22.95	6.35
22.97	6.31
23.00	6.24
23.02	6.19
23.05	6.12
23.07	6.15
23.10	6.11
23.12	6.12
23.15	5.97
23.17	5.98
23.19	5.85
23.22	5.94
23.24	5.82
23.27	5.87
23.29	5.63
23.32	5.68
23.34	5.51
23.36	5.66
23.39	5.47
23.41	5.57
23.44	5.32
23.46	5.49
23.49	5.29
23.51	5.42
23.54	5.16
23.56	5.24
23.58	4.98
23.61	5.10
23.63	4.87
23.66	5.00
23.68	4.72
23.71	4.85
23.73	4.62
23.76	4.73
23.78	4.48
23.80	4.60
23.83	4.36
23.85	4.53
23.88	4.30
23.90	4.41
23.93	4.18
23.95	4.31
23.98	4.10
24.00	4.26
24.02	4.03
24.05	4.17
24.07	4.01
24.10	4.14
24.12	3.93
24.15	4.02
24.17	3.84
24.20	4.00
24.22	3.82
24.24	3.90
24.27	3.71
24.29	3.78
24.32	3.67
24.34	3.79
24.37	3.67
24.39	3.72
24.42	3.57
24.44	3.64
24.46	3.62
24.49	3.70
24.51	3.60
24.54	3.60
24.56	3.52
24.59	3.59
24.61	3.59
24.63	3.59
24.66	3.57
24.68	3.54
24.71	3.53
24.73	3.55
24.76	3.60
24.78	3.59
24.81	3.66
24.83	3.57
24.85	3.63
24.88	3.58
24.90	3.70
24.93	3.66
24.95	3.77
24.98	3.63
25.00	3.76
25.03	3.66
25.05	3.87
25.07	3.77
25.10	3.90
25.12	3.74
25.15	3.90
25.17	3.82
25.20	4.07
25.22	3.91
25.25	4.10
25.27	3.97
25.29	4.22
25.32	4.18
25.34	4.39
25.37	4.23
25.39	4.49
25.42	4.36
25.44	4.63
25.47	4.50
25.49	4.71
25.51	4.63
25.54	4.87
25.56	4.75
25.59	5.03
25.61	4.90
25.64	5.16
25.66	5.05
25.68	5.24
25.71	5.18
25.73	5.44
25.76	5.34
25.78	5.59
25.81	5.47
25.83	5.68
25.86	5.65
25.88	5.87
25.90	5.82
25.93	6.03
25.95	5.95
25.98	6.20
26.00	6.23
26.03	6.47
26.05	6.50
26.08	6.66
26.10	6.67
26.12	6.87
26.15	6.94
26.17	7.13
26.20	7.17
26.22	7.28
26.25	7.35
26.27	7.52
26.30	7.65
26.32	7.81
26.34	7.90
26.37	8.01
26.39	8.13
26.42	8.22
26.44	8.43
26.47	8.55
26.49	8.68
26.52	8.72
26.54	8.86
26.56	8.93
26.59	9.15
26.61	9.16
26.64	9.37
26.66	9.38
26.69	9.58
26.71	9.59
26.73	9.89
26.76	9.92
26.78	10.18
26.81	10.12
26.83	10.35
26.86	10.29
26.88	10.56
26.91	10.46
26.93	10.68
26.95	10.55
26.98	10.81
27.00	10.73
27.03	11.02
27.05	10.93
27.08	11.14
27.10	11.00
27.13	11.22
27.15	11.07
27.17	11.30
27.20	11.14
27.22	11.36
27.25	11.21
27.27	11.44
27.30	11.27
27.32	11.52
27.35	11.34
27.37	11.55
27.39	11.39
27.42	11.57
27.44	11.39
27.47	11.55
27.49	11.32
27.52	11.47
27.54	11.31
27.57	11.45
27.59	11.31
27.61	11.41
27.64	11.17
27.66	11.27
27.69	11.10
27.71	11.19
27.74	11.01
27.76	11.00
27.78	10.79
27.81	10.84
27.83	10.69
27.86	10.74
27.88	10.55
27.91	10.48
27.93	10.30
27.96	10.28
27.98	10.18
28.00	10.13
28.03	9.96
28.05	9.85
28.08	9.71
28.10	9.63
28.13	9.56
28.15	9.43
28.18	9.32
28.20	9.14
28.22	9.06
28.25	8.92
28.27	8.89
28.30	8.73
28.32	8.70
28.35	8.46
28.37	8.41
28.40	8.22
28.42	8.22
28.44	8.02
28.47	8.00
28.49	7.72
28.52	7.74
28.54	7.50
28.57	7.58
28.59	7.35
28.62	7.34
28.64	7.05
28.66	7.10
28.69	6.87
28.71	7.01
28.74	6.71
28.76	6.77
28.79	6.53
28.81	6.64
28.84	6.41
28.86	6.52
28.88	6.23
28.91	6.36
28.93	6.08
28.96	6.17
28.98	5.90
29.01	6.01
29.03	5.75
29.05	5.88
29.08	5.60
29.10	5.77
29.13	5.56
29.15	5.72
29.18	5.51
29.20	5.61
29.23	5.39
29.25	5.59
29.27	5.39
29.30	5.49
29.32	5.26
29.35	5.36
29.37	5.24
29.40	5.41
29.42	5.22
29.45	5.31
29.47	5.16
29.49	5.29
29.52	5.22
29.54	5.33
29.57	5.21
29.59	5.30
29.62	5.19
29.64	5.28
29.67	5.28
29.69	5.37
29.71	5.37
29.74	5.42
29.76	5.37
29.79	5.48
29.81	5.54
29.84	5.61
29.86	5.67
29.89	5.65
29.91	5.70
29.93	5.75
29.96	5.85
29.98	5.91
30.01	6.01
30.03	5.94
30.06	6.02
30.08	5.98
30.10	6.17
30.13	6.17
30.15	6.32
30.18	6.24
30.20	6.43
30.23	6.48
30.25	6.80
30.28	6.79
30.30	7.04
30.32	6.98
30.35	7.23
30.37	7.19
30.40	7.45
30.42	7.35
30.45	7.60
30.47	7.50
30.50	7.79
30.52	7.79
30.54	8.16
30.57	8.11
30.59	8.43
30.62	8.41
30.64	8.79
30.67	8.76
30.69	9.05
30.72	8.98
30.74	9.28
30.76	9.24
30.79	9.55
30.81	9.45
30.84	9.79
30.86	9.80
30.89	10.14
30.91	10.18
30.94	10.53
30.96	10.55
30.98	10.92
31.01	10.89
31.03	11.18
31.06	11.25
31.08	11.57
31.11	11.64
31.13	11.93
31.15	11.91
31.18	12.24
31.20	12.37
31.23	12.69
31.25	12.80
31.28	13.04
31.30	13.15
31.33	13.48
31.35	13.61
31.37	13.86
31.40	14.00
31.42	14.20
31.45	14.35
31.47	14.59
31.50	14.74
31.52	15.01
31.55	15.16
31.57	15.30
31.59	15.48
31.62	15.67
31.64	15.92
31.67	16.12
31.69	16.33
31.72	16.44
31.74	16.62
31.77	16.70
31.79	16.98
31.81	17.04
31.84	17.26
31.86	17.25
31.89	17.48
31.91	17.52
31.94	17.84
31.96	17.83
31.99	18.08
32.01	17.97
32.03	18.21
32.06	18.17
32.08	18.42
32.11	18.31
32.13	18.47
32.16	18.31
32.18	18.56
32.20	18.43
32.23	18.64
32.25	18.46
32.28	18.58
32.30	18.40
32.33	18.58
32.35	18.40
32.38	18.56
32.40	18.32
32.42	18.46
32.45	18.26
32.47	18.41
32.50	18.13
32.52	18.25
32.55	17.99
32.57	18.11
32.60	17.85
32.62	17.90
32.64	17.60
32.67	17.68
32.69	17.35
32.72	17.39
32.74	17.06
32.77	17.13
32.79	16.89
32.82	16.91
32.84	16.57
32.86	16.54
32.89	16.26
32.91	16.28
32.94	15.97
32.96	15.86
32.99	15.48
33.01	15.37
33.04	15.12
33.06	15.02
33.08	14.72
33.11	14.57
33.13	14.29
33.16	14.19
33.18	14.03
33.21	13.91
33.23	13.67
33.26	13.50
33.28	13.23
33.30	13.06
33.33	12.88
33.35	12.68
33.38	12.45
33.40	12.22
33.43	12.00
33.45	11.85
33.47	11.75
33.50	11.59
33.52	11.49
33.55	11.25
33.57	11.13
33.60	10.92
33.62	10.84
33.65	10.63
33.67	10.53
33.69	10.19
33.72	10.13
33.74	9.84
33.77	9.89
33.79	9.65
33.82	9.62
33.84	9.37
33.87	9.39
33.89	9.15
33.91	9.31
33.94	9.03
33.96	9.07
33.99	8.80
34.01	8.87
34.04	8.66
34.06	8.77
34.09	8.45
34.11	8.55
34.13	8.29
34.16	8.41
34.18	8.17
34.21	8.30
34.23	8.10
34.26	8.27
34.28	8.04
34.31	8.22
34.33	8.01
34.35	8.19
34.38	8.05
34.40	8.21
34.43	8.03
34.45	8.24
34.48	8.04
34.50	8.22
34.52	8.03
34.55	8.15
34.57	8.03
34.60	8.24
34.62	8.14
34.65	8.35
34.67	8.26
34.70	8.45
34.72	8.45
34.74	8.67
34.77	8.66
34.79	8.81
34.82	8.77
34.84	8.96
34.87	8.99
34.89	9.16
34.92	9.18
34.94	9.27
34.96	9.34
34.99	9.52
35.01	9.64
35.04	9.82
35.06	9.95
35.09	10.05
35.11	10.24
35.14	10.36
35.16	10.54
35.18	10.66
35.21	10.83
35.23	10.88
35.26	11.05
35.28	11.10
35.31	11.37
35.33	11.48
35.36	11.74
35.38	11.81
35.40	12.07
35.43	12.17
35.45	12.55
35.48	12.65
35.50	12.98
35.53	13.03
35.55	13.33
35.57	13.41
35.60	13.82
35.62	13.86
35.65	14.24
35.67	14.24
35.70	14.62
35.72	14.73
35.75	15.21
35.77	15.26
35.79	15.67
35.82	15.70
35.84	16.22
35.87	16.31
35.89	16.71
35.92	16.70
35.94	17.14
35.97	17.18
35.99	17.63
36.01	17.65
36.04	18.12
36.06	18.23
36.09	18.74
36.11	18.85
36.14	19.35
36.16	19.48
36.19	19.94
36.21	20.07
36.23	20.49
36.26	20.63
36.28	21.05
36.31	21.19
36.33	21.60
36.36	21.70
36.38	22.09
36.41	22.31
36.43	22.73
36.45	22.91
36.48	23.28
36.50	23.46
36.53	23.86
36.55	24.09
36.58	24.49
36.60	24.64
36.62	24.94
36.65	25.06
36.67	25.36
36.70	25.54
36.72	25.81
36.75	25.92
36.77	26.14
36.80	26.31
36.82	26.57
36.84	26.79
36.87	27.03
36.89	27.21
36.92	27.35
36.94	27.51
36.97	27.63
36.99	27.81
37.02	27.87
37.04	27.97
37.06	27.95
37.09	28.08
37.11	28.11
37.14	28.30
37.16	28.30
37.19	28.48
37.21	28.41
37.24	28.54
37.26	28.45
37.28	28.60
37.31	28.49
37.33	28.58
37.36	28.32
37.38	28.41
37.41	28.21
37.43	28.30
37.46	28.04
37.48	28.04
37.50	27.73
37.53	27.77
37.55	27.45
37.58	27.45
37.60	27.07
37.63	27.06
37.65	26.74
37.68	26.73
37.70	26.34
37.72	26.34
37.75	25.96
37.77	25.96
37.80	25.52
37.82	25.41
37.85	24.97
37.87	24.90
37.89	24.45
37.92	24.35
37.94	23.85
37.97	23.77
37.99	23.36
38.02	23.28
38.04	22.85
38.07	22.71
38.09	22.26
38.11	22.20
38.14	21.76
38.16	21.55
38.19	21.03
38.21	20.84
38.24	20.40
38.26	20.23
38.29	19.77
38.31	19.55
38.33	19.12
38.36	18.96
38.38	18.61
38.41	18.47
38.43	18.12
38.46	17.90
38.48	17.56
38.51	17.36
38.53	17.09
38.55	16.90
38.58	16.58
38.60	16.31
38.63	16.04
38.65	15.83
38.68	15.65
38.70	15.45
38.73	15.25
38.75	15.00
38.77	14.83
38.80	14.62
38.82	14.52
38.85	14.32
38.87	14.19
38.90	13.91
38.92	13.80
38.94	13.56
38.97	13.56
38.99	13.34
39.02	13.31
39.04	13.07
39.07	13.09
39.09	12.92
39.12	13.03
39.14	12.80
39.16	12.90
39.19	12.68
39.21	12.77
39.24	12.57
39.26	12.71
39.29	12.50
39.31	12.67
39.34	12.46
39.36	12.64
39.38	12.50
39.41	12.71
39.43	12.56
39.46	12.76
39.48	12.60
39.51	12.83
39.53	12.66
39.56	12.88
39.58	12.77
39.60	13.02
39.63	12.92
39.65	13.16
39.68	13.04
39.70	13.36
39.73	13.27
39.75	13.52
39.78	13.45
39.80	13.74
39.82	13.69
39.85	13.97
39.87	13.93
39.90	14.21
39.92	14.26
39.95	14.59
39.97	14.66
39.99	14.95
40.02	14.99
40.04	15.30
40.07	15.41
40.09	15.69
40.12	15.74
40.14	15.96
40.17	16.09
40.19	16.38
40.21	16.55
40.24	16.86
40.26	17.06
40.29	17.35
40.31	17.56
40.34	17.86
40.36	18.15
40.39	18.45
40.41	18.73
40.43	18.96
40.46	19.18
40.48	19.44
40.51	19.77
40.53	20.02
40.56	20.35
40.58	20.56
40.61	20.90
40.63	21.19
40.65	21.64
40.68	21.90
40.70	22.35
40.73	22.56
40.75	22.99
40.78	23.22
40.80	23.71
40.83	23.92
40.85	24.41
40.87	24.56
40.90	25.05
40.92	25.24
40.95	25.82
40.97	26.05
41.00	26.60
41.02	26.74
41.05	27.31
41.07	27.53
41.09	28.18
41.12	28.29
41.14	28.79
41.17	28.93
41.19	29.49
41.22	29.66
41.24	30.17
41.26	30.31
41.29	30.92
41.31	31.13
41.34	31.74
41.36	31.96
41.39	32.54
41.41	32.72
41.44	33.29
41.46	33.49
41.48	33.97
41.51	34.12
41.53	34.57
41.56	34.71
41.58	35.23
41.61	35.40
41.63	35.87
41.66	36.14
41.68	36.58
41.70	36.75
41.73	37.20
41.75	37.38
41.78	37.78
41.80	37.96
41.83	38.22
41.85	38.31
41.88	38.63
41.90	38.75
41.92	39.03
41.95	39.17
41.97	39.37
42.00	39.46
42.02	39.72
42.05	39.86
42.07	40.06
42.10	40.13
42.12	40.19
42.14	40.23
42.17	40.33
42.19	40.38
42.22	40.45
42.24	40.45
42.27	40.41
42.29	40.41
42.31	40.36
42.34	40.41
42.36	40.34
42.39	40.34
42.41	40.15
42.44	40.06
42.46	39.87
42.49	39.83
42.51	39.60
42.53	39.56
42.56	39.23
42.58	39.13
42.61	38.85
42.63	38.85
42.66	38.53
42.68	38.33
