U1	I
16.45	3.29
16.48	3.48
16.50	3.33
16.53	3.51
16.55	3.39
16.58	3.62
16.60	3.46
16.63	3.67
16.65	3.50
16.67	3.70
16.70	3.50
16.72	3.68
16.75	3.50
16.77	3.69
16.80	3.50
16.82	3.73
16.84	3.56
16.87	3.80
16.89	3.69
16.92	3.88
16.94	3.75
16.97	3.96
16.99	3.81
17.02	4.05
17.04	3.93
17.06	4.05
17.09	3.91
17.11	4.05
17.14	3.95
17.16	4.12
17.19	4.01
17.21	4.12
17.24	3.99
17.26	4.11
17.28	4.06
17.31	4.21
17.33	4.15
17.36	4.23
17.38	4.17
17.41	4.29
17.43	4.32
17.46	4.40
17.48	4.35
17.50	4.36
17.53	4.32
17.55	4.36
17.58	4.37
17.60	4.40
17.63	4.45
17.65	4.41
17.68	4.42
17.70	4.39
17.72	4.48
17.75	4.52
17.77	4.59
17.80	4.47
17.82	4.54
17.85	4.47
17.87	4.60
17.89	4.54
17.92	4.62
17.94	4.47
17.97	4.59
17.99	4.50
18.02	4.70
18.04	4.60
18.07	4.71
18.09	4.55
18.11	4.69
18.14	4.53
18.16	4.72
18.19	4.55
18.21	4.68
18.24	4.51
18.26	4.65
18.29	4.51
18.31	4.71
18.33	4.51
18.36	4.70
18.38	4.54
18.41	4.73
18.43	4.55
18.46	4.75
18.48	4.60
18.51	4.78
18.53	4.58
18.55	4.73
18.58	4.50
18.60	4.68
18.63	4.49
18.65	4.61
18.68	4.43
18.70	4.58
18.73	4.43
18.75	4.60
18.77	4.40
18.80	4.52
18.82	4.40
18.85	4.59
18.87	4.48
18.90	4.59
18.92	4.43
18.94	4.58
18.97	4.49
18.99	4.62
19.02	4.51
19.04	4.53
19.07	4.40
19.09	4.53
19.12	4.50
19.14	4.58
19.16	4.52
19.19	4.50
19.21	4.50
19.24	4.56
19.26	4.55
19.29	4.58
19.31	4.52
19.34	4.46
19.36	4.46
19.38	4.42
19.41	4.48
19.43	4.45
19.46	4.47
19.48	4.43
19.51	4.48
19.53	4.42
19.56	4.56
19.58	4.49
19.60	4.60
19.63	4.48
19.65	4.56
19.68	4.47
19.70	4.61
19.73	4.48
19.75	4.63
19.78	4.45
19.80	4.59
19.82	4.50
19.85	4.71
19.87	4.60
19.90	4.75
19.92	4.54
19.95	4.73
19.97	4.61
19.99	4.76
20.02	4.55
20.04	4.71
20.07	4.54
20.09	4.77
20.12	4.63
20.14	4.79
20.17	4.63
20.19	4.83
20.21	4.67
20.24	4.86
20.26	4.68
20.29	4.89
20.31	4.76
20.34	4.98
20.36	4.84
20.39	5.07
20.41	4.94
20.43	5.14
20.46	4.96
20.48	5.13
20.51	4.99
20.53	5.19
20.56	5.08
20.58	5.24
20.61	5.08
20.63	5.23
20.65	5.15
20.68	5.37
20.70	5.26
20.73	5.36
20.75	5.26
20.78	5.40
20.80	5.38
20.83	5.54
20.85	5.47
20.87	5.54
20.90	5.49
20.92	5.60
20.95	5.66
20.97	5.75
21.00	5.72
21.02	5.75
21.05	5.76
21.07	5.85
21.09	5.95
21.12	5.99
21.14	6.05
21.17	6.04
21.19	6.13
21.22	6.15
21.24	6.29
21.26	6.27
21.29	6.42
21.31	6.34
21.34	6.46
21.36	6.38
21.39	6.60
21.41	6.57
21.44	6.77
21.46	6.64
21.48	6.83
21.51	6.77
21.53	7.02
21.56	6.92
21.58	7.05
21.61	6.86
21.63	7.04
21.66	6.92
21.68	7.16
21.70	7.03
21.73	7.21
21.75	7.11
21.78	7.37
21.80	7.30
21.83	7.55
21.85	7.44
21.88	7.67
21.90	7.55
21.92	7.77
21.95	7.63
21.97	7.82
22.00	7.69
22.02	7.91
22.05	7.75
22.07	7.98
22.10	7.85
22.12	8.04
22.14	7.97
22.17	8.16
22.19	8.01
22.22	8.25
22.24	8.10
22.27	8.26
22.29	8.10
22.31	8.23
22.34	8.13
22.36	8.34
22.39	8.23
22.41	8.35
22.44	8.24
22.46	8.39
22.49	8.36
22.51	8.49
22.53	8.39
22.56	8.44
22.58	8.37
22.61	8.46
22.63	8.42
22.66	8.47
22.68	8.42
22.71	8.42
22.73	8.39
22.75	8.42
22.78	8.43
22.80	8.47
22.83	8.48
22.85	8.43
22.88	8.46
22.90	8.40
22.93	8.48
22.95	8.48
22.97	8.50
23.00	8.37
23.02	8.36
23.05	8.23
23.07	8.35
23.10	8.24
23.12	8.32
23.15	8.16
23.17	8.26
23.19	8.20
23.22	8.37
23.24	8.24
23.27	8.36
23.29	8.16
23.32	8.29
23.34	8.12
23.36	8.25
23.39	8.08
23.41	8.23
23.44	7.98
23.46	8.13
23.49	7.94
23.51	8.10
23.54	7.90
23.56	8.02
23.58	7.78
23.61	7.98
23.63	7.81
23.66	7.99
23.68	7.77
23.71	7.94
23.73	7.76
23.76	7.96
23.78	7.74
23.80	7.87
23.83	7.65
23.85	7.82
23.88	7.63
23.90	7.81
23.93	7.63
23.95	7.77
23.98	7.59
24.00	7.75
24.02	7.62
24.05	7.79
24.07	7.64
24.10	7.72
24.12	7.56
24.15	7.67
24.17	7.52
24.20	7.64
24.22	7.50
24.24	7.55
24.27	7.46
24.29	7.55
24.32	7.49
24.34	7.61
24.37	7.55
24.39	7.56
24.42	7.52
24.44	7.57
24.46	7.57
24.49	7.63
24.51	7.61
24.54	7.57
24.56	7.58
24.59	7.58
24.61	7.65
24.63	7.67
24.66	7.70
24.68	7.66
24.71	7.70
24.73	7.67
24.76	7.82
24.78	7.78
24.81	7.88
24.83	7.76
24.85	7.87
24.88	7.81
24.90	7.99
24.93	7.90
24.95	8.07
24.98	7.95
25.00	8.17
25.03	8.07
25.05	8.29
25.07	8.20
25.10	8.40
25.12	8.20
25.15	8.40
25.17	8.25
25.20	8.48
25.22	8.35
25.25	8.52
25.27	8.36
25.29	8.62
25.32	8.51
25.34	8.75
25.37	8.63
25.39	8.88
25.42	8.73
25.44	8.95
25.47	8.83
25.49	9.04
25.51	8.94
25.54	9.18
25.56	9.03
25.59	9.31
25.61	9.26
25.64	9.48
25.66	9.38
25.68	9.59
25.71	9.52
25.73	9.83
25.76	9.76
25.78	9.91
25.81	9.81
25.83	9.98
25.86	9.95
25.88	10.16
25.90	10.10
25.93	10.21
25.95	10.20
25.98	10.39
26.00	10.47
26.03	10.62
26.05	10.64
26.08	10.77
26.10	10.82
26.12	10.96
26.15	11.05
26.17	11.16
26.20	11.25
26.22	11.32
26.25	11.35
26.27	11.44
26.30	11.59
26.32	11.68
26.34	11.83
26.37	11.84
26.39	11.95
26.42	12.00
26.44	12.20
26.47	12.23
26.49	12.41
26.52	12.35
26.54	12.50
26.56	12.46
26.59	12.70
26.61	12.68
26.64	12.89
26.66	12.79
26.69	13.00
26.71	12.98
26.73	13.29
26.76	13.19
26.78	13.38
26.81	13.24
26.83	13.49
26.86	13.39
26.88	13.60
26.91	13.46
26.93	13.71
26.95	13.60
26.98	13.84
27.00	13.71
27.03	13.95
27.05	13.84
27.08	14.11
27.10	13.94
27.13	14.19
27.15	14.07
27.17	14.29
27.20	14.17
27.22	14.41
27.25	14.25
27.27	14.50
27.30	14.33
27.32	14.51
27.35	14.40
27.37	14.56
27.39	14.40
27.42	14.56
27.44	14.41
27.47	14.54
27.49	14.37
27.52	14.49
27.54	14.39
27.57	14.54
27.59	14.44
27.61	14.53
27.64	14.39
27.66	14.48
27.69	14.42
27.71	14.52
27.74	14.41
27.76	14.42
27.78	14.30
27.81	14.40
27.83	14.36
27.86	14.39
27.88	14.30
27.91	14.26
27.93	14.22
27.96	14.20
27.98	14.17
28.00	14.16
28.03	14.10
28.05	14.02
28.08	14.01
28.10	13.91
28.13	13.95
28.15	13.85
28.18	13.86
28.20	13.70
28.22	13.70
